condition,food,warning,explanation
asthma,high fructose corn syrup sweetened soft drink,dangerous,High fructose corn syrup (HFCS) sweetened soft drink intake has been linked with asthma in US high-schoolers.
Prediabetes,coffee/soda drink/iced tea,can worsen,coffee/soda drink/iced tea with serving size 240.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
urolithiasis,fruit,safe,"Regarding food, intake of fruit correlated negatively with the incidence of urolithiasis (r = -0.721, p = 0.008), while intake of eggs (r = 0.537, p = 0.072) and sugar (r = 0.475, p = 0.119) tended to positively correlate with incidence."
rhinitis,wheat flour,dangerous,Sensitization to inhaled wheat flour may lead to occupational rhinitis and/or asthma.
infections,breast milk,safe,Breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses.
cancer,oolong tea,safe,"Evidence regarding the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects."
Prediabetes,Cheese,safe,Cheese may support balanced diet for prediabetes.
pathogenic viral infections,functional foods,safe,"Functional foods optimize the immune system capacity to prevent and control pathogenic viral infections, while physical activity augments such protective benefits."
Hypertension,Chicken/Turkey,safe,Chicken/Turkey may support balanced diet for hypertension.
osteoarthritis,symptomatic slow-acting drugs,safe,Evidence supports the use of glucosamine and chondroitin as symptomatic slow-acting drugs for osteoarthritis (SYSADOAs) with impact on OA symptoms and disease-modifying effects in the long term.
bone loss,regular-fish oil,safe,"The preventive effect of high-dose (9%) regular-fish oil (FO) against bone loss during aging has been demonstrated, but the effects of a low-dose (1%-4%) of a highly purified concentrated FO (CFO) has not been elucidated."
Prediabetes,fruit and vegetable smoothie,safe,fruit and vegetable smoothie is nutritious and may help manage prediabetes.
Hypertension,egg omelet substitute,can worsen,egg omelet substitute with serving size 61.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cardiovascular disease,ultra-processed foods,dangerous,A high percentage of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors.
cutis laxa,drugs,dangerous,"In most cases, acquired cutis laxa is associated with neoplasms, drugs, and autoimmune diseases."
Hypertension,beet greens/collards/cress/romaine/greens/spinach,safe,beet greens/collards/cress/romaine/greens/spinach may support balanced diet for hypertension.
cardiovascular and cerebrovascular diseases,fruit,safe,Fruit and vegetable consumption was considered a protective effect against cardiovascular and cerebrovascular diseases (CVDs).
colon cancer,crushed garlic,safe,"Here, we identified Z-ajoene, a sulfur containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth."
Prediabetes,butter,can worsen,butter with serving size 14.2g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
ailments,ginger,safe,Ginger (from the rizhome of Zingiber officinale Roscoe) has been widely used in ethnomedicine for the cure of several ailments.
allergy,almond,dangerous,Oral food challenges have demonstrated that diagnosis of almond allergy based on extract-sIgE tests display low specificity.
dementia,nobiletin from citrus peels,safe,"Previously, we identified nobiletin from citrus peels as a natural compound possessing anti-dementia activity."
hypoxia,brassica rapa,safe,"The Tibetan turnip (Brassica rapa L.) has a wide array of medicine properties including heat-clearing, detoxifying and anti-hypoxia as listed in the famous centuries-old Tibetan medicine classic ""The Four Medical Tantras""."
cardiovascular diseases,fruit,safe,Fruit and vegetable intake has been reported as one of the significant protective factors against the development of cardiovascular diseases (CVD).
colon cancer,garlic,safe,"The results indicate that grape, soybean, green tea, garlic, olive, and pomegranate are the most effective plants against colon cancer."
osteoporosis,salt,dangerous,"Salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis."
Prediabetes,Cheese,can worsen,Cheese with serving size 32.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Bread,safe,Bread may support balanced diet for prediabetes.
ad,sugar,dangerous,"The origin of AD is multifactorial, and many metabolic disorders originating from overconsumption of fat, cholesterol, and sugar are associated with higher risk of AD later in life."
Prediabetes,raw vegetables,safe,raw vegetables is nutritious and may help manage prediabetes.
allergy,wheat flour,dangerous,Occupational allergy to components of wheat flour is the main cause of rhinitis and asthma of workers in bakeries and similar activities.
Hypertension,milk,can worsen,milk with serving size 244.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Cheese,safe,Cheese may support balanced diet for hypertension.
asthma,less healthy diet,dangerous,"We observed a significant positive association between less healthy diet, as expressed by higher FSAm-NPS DI, and the asthma symptom score."
chronic diseases,beer,safe,"In beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases."
Hypertension,Fish,can worsen,Fish with serving size 85.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
g6pd) deficiency,blueberries,dangerous,"However, there is evidence in the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency."
cancer,oolong tea,safe,"Evidence regarding the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects."
Prediabetes,egg omelet substitute,safe,egg omelet substitute may support balanced diet for prediabetes.
respiratory symptoms,ammonia,dangerous,"High endotoxin, ammonia, and dust levels contribute to acute and chronic respiratory symptoms in people who work in these settings."
ad,olive oil (,safe,A growing body of evidence including our studies supports a protective effect of oleocanthal (OC) and extra-virgin olive oil (EVOO) at early AD stages before the onset of pathology.
Hypertension,egg omelet,safe,egg omelet may support balanced diet for hypertension.
dementia,tofu,dangerous,"In older people in Indonesia, Hawai'i and China, tofu, which can contain high levels of phytoestrogens, was found to increase dementia risk."
osteoporotic fractures,virgin olive oil,safe,"Virgin olive oil, a key component of the Mediterranean Diet (MDiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures."
"stomach, colorectal, breast cancer",garlic,safe,"Evidence supports the protective effects of garlic in stomach, colorectal, breast cancer in humans."
asthma,certain foods,safe,Consumption of certain foods during pregnancy has been shown to have beneficial effects on childhood asthma and allergic disease development and aggravation.
obesity,ginger,safe,Ginger exerts protective effects on obesity and its complications.
cardiometabolic disease,soy foods,safe,"Consumption of soy foods has been associated with protection against cardiometabolic disease, but the mechanisms are incompletely understood."
Prediabetes,Sussages,can worsen,Sussages with serving size 100.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cancer,oolong tea,safe,"Evidence regarding the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects."
cancers,olive oil,safe,"Traditional Mediterranean Diet (MD) is associated by the low-prevalence of certain types of cancers and CVDs, where olive oil plays an important role."
Hypertension,salad dressing,safe,salad dressing is nutritious and may help manage hypertension.
