food,safe_alternative,reason
butter ice cream,steamed green tea,Steamed green tea is lower in saturated fat and calories compared to butter ice cream.
butter chocolate ice cream,no sugar black coffee (no sugar),No sugar black coffee (no sugar) is fermented or dairy option aids digestion compared to butter chocolate ice cream.
sugarcane juice,green tea,Green tea is includes more vegetables and micronutrients compared to sugarcane juice.
butter ramen with pork,baked vegetable soup,Baked vegetable soup is lower sodium content supports heart health compared to butter ramen with pork.
cheese dosa,poha (less oil),Poha (less oil) is baked or steamed instead of deep-fried compared to cheese dosa.
butter peda,dal fry (less oil),Dal fry (less oil) is whole grains provide sustained energy compared to butter peda.
shawarma,no sugar buttermilk,No sugar buttermilk is higher in fiber which improves satiety compared to shawarma.
packaged juice,roasted chana,Roasted chana is reduced oil and lighter on the stomach compared to packaged juice.
butter naan,grilled tandoori chicken,Grilled tandoori chicken is contains more protein to keep you full compared to butter naan.
garlic rasmalai,cucumber salad,Cucumber salad is lower in saturated fat and calories compared to garlic rasmalai.
poori,unsweetened plain khichdi,Unsweetened plain khichdi is whole grains provide sustained energy compared to poori.
ramen with pork,vegetable soup,Vegetable soup is higher in fiber which improves satiety compared to ramen with pork.
rasgulla,grilled hand-pounded rice,Grilled hand-pounded rice is whole grains provide sustained energy compared to rasgulla.
chicken nuggets,millet roti,Millet roti is includes more vegetables and micronutrients compared to chicken nuggets.
ice cream,homestyle greek yogurt,Homestyle greek yogurt is fermented or dairy option aids digestion compared to ice cream.
family pack misal pav,vegetable soup,Vegetable soup is higher in fiber which improves satiety compared to family pack misal pav.
double cheese pizza,whole wheat roti,Whole wheat roti is reduced oil and lighter on the stomach compared to double cheese pizza.
momos fried,no sugar dal fry (less oil),No sugar dal fry (less oil) is fermented or dairy option aids digestion compared to momos fried.
cola,lemon water,Lemon water is lower sodium content supports heart health compared to cola.
halwa,homestyle tofu stir-fry,Homestyle tofu stir-fry is contains more protein to keep you full compared to halwa.
nachos,unsweetened phulka (no oil),Unsweetened phulka (no oil) is baked or steamed instead of deep-fried compared to nachos.
kaju katli,steamed baked samosa,Steamed baked samosa is whole grains provide sustained energy compared to kaju katli.
kheer,greek yogurt,Greek yogurt is contains more protein to keep you full compared to kheer.
cake,vegetable khichdi,Vegetable khichdi is baked or steamed instead of deep-fried compared to cake.
kulfi,unsweetened grilled fish,Unsweetened grilled fish is lower in saturated fat and calories compared to kulfi.
garlic bread,whole wheat roti,Whole wheat roti is higher in fiber which improves satiety compared to garlic bread.
loaded nachos,low-oil moong chilla,Low-oil moong chilla is whole grains provide sustained energy compared to loaded nachos.
schezwan rice,buttermilk,Buttermilk is reduced oil and lighter on the stomach compared to schezwan rice.
hakka noodles,green tea,Green tea is fermented or dairy option aids digestion compared to hakka noodles.
kheer,greek yogurt,Greek yogurt is lower sodium content supports heart health compared to kheer.
chicken biryani,lemon water,Lemon water is whole grains provide sustained energy compared to chicken biryani.
butter tortilla chips,light green tea,Light green tea is higher in fiber which improves satiety compared to butter tortilla chips.
misal pav,stir-fried veggies,Stir-fried veggies is higher in fiber which improves satiety compared to misal pav.
kathi roll,vegetable soup,Vegetable soup is fermented or dairy option aids digestion compared to kathi roll.
loaded sev,green tea,Green tea is reduced oil and lighter on the stomach compared to loaded sev.
kachori,baked sweet potato,Baked sweet potato is reduced oil and lighter on the stomach compared to kachori.
masala bhel puri,tandoori chicken,Tandoori chicken is lower sodium content supports heart health compared to masala bhel puri.
barfi,unsweetened tofu stir-fry,Unsweetened tofu stir-fry is reduced oil and lighter on the stomach compared to barfi.
maggi noodles,grilled chicken,Grilled chicken is lower sodium content supports heart health compared to maggi noodles.
large paneer butter masala,fruit salad,Fruit salad is higher in fiber which improves satiety compared to large paneer butter masala.
masala burger,sweet potato chaat,Sweet potato chaat is contains more protein to keep you full compared to masala burger.
small veg biryani,light poha (less oil),Light poha (less oil) is reduced oil and lighter on the stomach compared to small veg biryani.
noodles,coconut water,Coconut water is lower sodium content supports heart health compared to noodles.
double sweet lassi,plain nuts mix (unsalted),Plain nuts mix (unsalted) is whole grains provide sustained energy compared to double sweet lassi.
halwa,sauteed greens,Sauteed greens is higher in fiber which improves satiety compared to halwa.
fish and chips,no butter oats dosa,No butter oats dosa is lower in saturated fat and calories compared to fish and chips.
paneer tikka pizza,greek yogurt,Greek yogurt is less sugar and better for blood glucose control compared to paneer tikka pizza.
double maggi noodles,low-oil vegetable khichdi,Low-oil vegetable khichdi is lower sodium content supports heart health compared to double maggi noodles.
brownie,plain khichdi,Plain khichdi is lower sodium content supports heart health compared to brownie.
chicken nuggets,plain dal fry (less oil),Plain dal fry (less oil) is lower in saturated fat and calories compared to chicken nuggets.
french fries,baked samosa,Baked samosa is less sugar and better for blood glucose control compared to french fries.
cola,baked fish,Baked fish is lower sodium content supports heart health compared to cola.
large mutton biryani,low-oil tofu tikka,Low-oil tofu tikka is less sugar and better for blood glucose control compared to large mutton biryani.
regular peda,low-oil dal fry (less oil),Low-oil dal fry (less oil) is lower sodium content supports heart health compared to regular peda.
large manchurian,low-fat yogurt,Low-fat yogurt is lower sodium content supports heart health compared to large manchurian.
family pack cold coffee,poha (less oil),Poha (less oil) is whole grains provide sustained energy compared to family pack cold coffee.
small doughnut,grilled chicken,Grilled chicken is lower sodium content supports heart health compared to small doughnut.
laddu,air-popped popcorn,Air-popped popcorn is higher in fiber which improves satiety compared to laddu.
jalebi,unsweetened paneer tikka,Unsweetened paneer tikka is whole grains provide sustained energy compared to jalebi.
white bread,buttermilk,Buttermilk is whole grains provide sustained energy compared to white bread.
pav bhaji,fruit salad,Fruit salad is baked or steamed instead of deep-fried compared to pav bhaji.
garlic manchurian,air-popped popcorn,Air-popped popcorn is includes more vegetables and micronutrients compared to garlic manchurian.
garlic bread,grilled quinoa,Grilled quinoa is reduced oil and lighter on the stomach compared to garlic bread.
laddu,baked chaas,Baked chaas is whole grains provide sustained energy compared to laddu.
rasgulla,low-oil chaas,Low-oil chaas is reduced oil and lighter on the stomach compared to rasgulla.
family pack chicken nuggets,no sugar quinoa,No sugar quinoa is less sugar and better for blood glucose control compared to family pack chicken nuggets.
black forest cake,baked fish,Baked fish is higher in fiber which improves satiety compared to black forest cake.
masala chole bhature,hand-pounded rice,Hand-pounded rice is lower sodium content supports heart health compared to masala chole bhature.
sev puri,roasted veggies,Roasted veggies is includes more vegetables and micronutrients compared to sev puri.
manchurian,greek yogurt,Greek yogurt is less sugar and better for blood glucose control compared to manchurian.
small manchurian,no sugar hand-pounded rice,No sugar hand-pounded rice is contains more protein to keep you full compared to small manchurian.
loaded popcorn butter,cucumber salad,Cucumber salad is reduced oil and lighter on the stomach compared to loaded popcorn butter.
chips,greek yogurt,Greek yogurt is baked or steamed instead of deep-fried compared to chips.
large vada pav,baked dal tadka,Baked dal tadka is reduced oil and lighter on the stomach compared to large vada pav.
