medicine,food,interaction,warning,explanation
levothyroxine,licorice,safe,no major risk,Licorice with levothyroxine generally poses no significant problem when consumed in moderation.
fluconazole,soy sauce,safe,no major risk,Soy sauce with fluconazole generally poses no significant problem when consumed in moderation.
amlodipine,jalebi,safe,no major risk,Jalebi with amlodipine generally poses no significant problem when consumed in moderation.
fexofenadine,sambar,safe,no major risk,Sambar with fexofenadine generally poses no significant problem when consumed in moderation.
azithromycin,fermented tofu,safe,no major risk,Fermented tofu with azithromycin generally poses no significant problem when consumed in moderation.
phenelzine,banana,safe,no major risk,Banana with phenelzine generally poses no significant problem when consumed in moderation.
sitagliptin,kathi roll,safe,no major risk,Kathi roll with sitagliptin generally poses no significant problem when consumed in moderation.
clopidogrel,bitter gourd,safe,no major risk,Bitter gourd with clopidogrel generally poses no significant problem when consumed in moderation.
metformin,kale,safe,no major risk,Kale with metformin generally poses no significant problem when consumed in moderation.
aspirin,sev,safe,no major risk,Sev with aspirin generally poses no significant problem when consumed in moderation.
azithromycin,spinach soup,safe,no major risk,Spinach soup with azithromycin generally poses no significant problem when consumed in moderation.
ibuprofen,paneer,safe,no major risk,Paneer with ibuprofen generally poses no significant problem when consumed in moderation.
lithium,khichdi,safe,no major risk,Khichdi with lithium generally poses no significant problem when consumed in moderation.
ibuprofen,french fries,risky,stomach irritation,French fries with ibuprofen may increase gastric irritation or bleeding risk.
telmisartan,spinach,safe,no major risk,Spinach with telmisartan generally poses no significant problem when consumed in moderation.
rosuvastatin,jalebi,safe,no major risk,Jalebi with rosuvastatin generally poses no significant problem when consumed in moderation.
pioglitazone,aged cheese,safe,no major risk,Aged cheese with pioglitazone generally poses no significant problem when consumed in moderation.
ciprofloxacin,pickles,safe,no major risk,Pickles with ciprofloxacin generally poses no significant problem when consumed in moderation.
cyclosporine,rajma,safe,no major risk,Rajma with cyclosporine generally poses no significant problem when consumed in moderation.
ciprofloxacin,kimchi,safe,no major risk,Kimchi with ciprofloxacin generally poses no significant problem when consumed in moderation.
fluoxetine,pulao,safe,no major risk,Pulao with fluoxetine generally poses no significant problem when consumed in moderation.
metoprolol,dates,safe,no major risk,Dates with metoprolol generally poses no significant problem when consumed in moderation.
lithium,multigrain roti,safe,no major risk,Multigrain roti with lithium generally poses no significant problem when consumed in moderation.
tranylcypromine,palak paneer,safe,no major risk,Palak paneer with tranylcypromine generally poses no significant problem when consumed in moderation.
clopidogrel,tofu,safe,no major risk,Tofu with clopidogrel generally poses no significant problem when consumed in moderation.
citalopram,maggi noodles,safe,no major risk,Maggi noodles with citalopram generally poses no significant problem when consumed in moderation.
citalopram,beetroot,safe,no major risk,Beetroot with citalopram generally poses no significant problem when consumed in moderation.
venlafaxine,mutton curry,safe,no major risk,Mutton curry with venlafaxine generally poses no significant problem when consumed in moderation.
atorvastatin,yogurt,safe,no major risk,Yogurt with atorvastatin generally poses no significant problem when consumed in moderation.
fenofibrate,pulao,safe,no major risk,Pulao with fenofibrate generally poses no significant problem when consumed in moderation.
fluoxetine,raisins,safe,no major risk,Raisins with fluoxetine generally poses no significant problem when consumed in moderation.
tacrolimus,halwa,safe,no major risk,Halwa with tacrolimus generally poses no significant problem when consumed in moderation.
fenofibrate,kadhi,safe,no major risk,Kadhi with fenofibrate generally poses no significant problem when consumed in moderation.
doxycycline,energy drink,safe,no major risk,Energy drink with doxycycline generally poses no significant problem when consumed in moderation.
tetracycline,multigrain roti,safe,no major risk,Multigrain roti with tetracycline generally poses no significant problem when consumed in moderation.
dabigatran,rajma,safe,no major risk,Rajma with dabigatran generally poses no significant problem when consumed in moderation.
heparin,beer,safe,no major risk,Beer with heparin generally poses no significant problem when consumed in moderation.
ketoconazole,carrot,safe,no major risk,Carrot with ketoconazole generally poses no significant problem when consumed in moderation.
warfarin,dried apricots,safe,no major risk,Dried apricots with warfarin generally poses no significant problem when consumed in moderation.
pantoprazole,peda,safe,no major risk,Peda with pantoprazole generally poses no significant problem when consumed in moderation.
amoxicillin,edamame,safe,no major risk,Edamame with amoxicillin generally poses no significant problem when consumed in moderation.
digoxin,turmeric latte,safe,no major risk,Turmeric latte with digoxin generally poses no significant problem when consumed in moderation.
fluconazole,broccoli,safe,no major risk,Broccoli with fluconazole generally poses no significant problem when consumed in moderation.
telmisartan,dark chocolate,safe,no major risk,Dark chocolate with telmisartan generally poses no significant problem when consumed in moderation.
venlafaxine,mango,safe,no major risk,Mango with venlafaxine generally poses no significant problem when consumed in moderation.
lisinopril,spring rolls,safe,no major risk,Spring rolls with lisinopril generally poses no significant problem when consumed in moderation.
metronidazole,rasmalai,safe,no major risk,Rasmalai with metronidazole generally poses no significant problem when consumed in moderation.
lithium,yogurt,safe,no major risk,Yogurt with lithium generally poses no significant problem when consumed in moderation.
omeprazole,alcohol,safe,no major risk,Alcohol with omeprazole generally poses no significant problem when consumed in moderation.
calcium supplements,cranberry,safe,no major risk,Cranberry with calcium supplements generally poses no significant problem when consumed in moderation.
azithromycin,soy sauce,safe,no major risk,Soy sauce with azithromycin generally poses no significant problem when consumed in moderation.
tetracycline,pomegranate juice,safe,no major risk,Pomegranate juice with tetracycline generally poses no significant problem when consumed in moderation.
omeprazole,multigrain roti,safe,no major risk,Multigrain roti with omeprazole generally poses no significant problem when consumed in moderation.
magnesium supplements,beer,safe,no major risk,Beer with magnesium supplements generally poses no significant problem when consumed in moderation.
